TGW,HI,BM,CT_UAV_1,CT_UAV_2,CT_UAV_3,CT_UAV_4,YLD
45.042087,0.475579,1251.626388,25.500284,24.046257,24.12904,32.077687,596.7392
45.758016,0.487048,1241.796206,25.756132,24.167315,23.889658,31.585267,605.295
47.682331,0.474074,1233.277918,25.427163,23.737427,23.845542,31.709528,585.7227
47.958545,0.486976,1351.057314,25.698568,24.221908,23.88371,31.008745,656.3461
46.96045,0.499448,1213.317764,25.40992,24.176777,23.874094,31.641191,606.6787
43.103392,0.479122,1283.126191,25.576839,24.352931,24.216416,31.632894,615.1914
43.648718,0.479219,1317.628156,25.501727,24.139818,23.273096,30.79445,627.7624
48.893373,0.463001,1388.446282,25.625486,24.394416,23.560129,30.939194,643.9865
43.690609,0.459034,1366.132496,25.693908,24.264326,23.783207,30.469195,627.3281
43.332022,0.47337,1380.793139,25.570241,24.27728,23.663853,31.171454,654.2788
40.6948,0.498584,1295.877392,25.422556,23.97258,24.285771,32.881221,649.1457
48.335309,0.482911,1063.947133,25.68692,24.271075,24.277868,32.211962,515.159
35.176959,0.468412,1213.185452,25.86306,24.279729,24.325049,32.98224,566.6585
40.205855,0.473662,1475.286685,25.511367,23.90897,23.284,31.269995,698.8524
34.163456,0.466432,1374.147749,25.609606,24.214013,23.01344,30.121498,640.6601
45.984188,0.47505,1215.984831,25.748768,24.022833,23.302607,30.667523,576.8207
41.562134,0.45499,1448.986068,25.806152,23.91332,23.869244,30.505731,660.1325
44.137944,0.491963,1456.938111,25.788248,24.198377,23.640675,30.735918,716.4414
40.52564,0.495218,1401.200716,25.559119,23.810538,22.827951,30.58128,692.8944
39.710302,0.437191,1490.450143,25.73353,23.803684,23.272376,30.635355,649.5708
45.000811,0.504881,1275.124804,25.688992,24.189071,23.931644,31.710806,642.9183
39.733705,0.467783,1249.554691,25.495179,24.020868,24.567977,32.552646,587.5496
41.707871,0.463635,1419.716577,25.469622,23.914321,23.98523,31.404114,658.92
27.991295,0.408717,1318.185309,25.634821,23.664132,24.327023,32.147354,538.5554
41.443022,0.469694,1225.095264,25.60185,24.0298,23.980855,32.039188,574.5765
37.522081,0.511896,1173.244285,25.397498,24.093607,24.240088,31.86118,599.5163
39.387016,0.478618,1314.375098,25.651252,24.148914,23.415462,30.572511,630.1999
31.325936,0.488673,903.713164,25.504008,24.093089,23.946234,32.198927,437.8053
45.150139,0.493522,1412.101067,25.39741,24.095684,24.734785,32.475315,694.1178
36.260309,0.468411,944.917133,25.65192,24.436075,24.452868,33.021962,442.504
39.534985,0.506823,1317.915572,25.409823,24.265785,24.086278,31.45639,666.6511
34.453074,0.486228,1321.771738,25.90346,24.161408,24.079386,31.101336,643.0691
39.841655,0.489567,1331.952944,25.635352,24.41633,24.62395,31.717973,650.0432
38.258705,0.474783,1050.284691,25.635179,23.985868,24.907977,32.992646,500.4446
40.511639,0.422111,1098.400269,25.648913,23.386619,23.07515,31.149554,465.8245
32.893734,0.467974,1447.924076,25.401131,23.824915,23.333796,31.015496,677.9521
46.990579,0.493726,1313.988176,25.439108,23.804459,23.371168,30.419454,646.6814
38.280378,0.482735,1130.979483,25.878516,23.839099,23.515988,31.016156,546.3725
37.566295,0.432217,1693.250309,25.359821,23.694132,23.282023,30.927354,731.3604
45.268332,0.489413,1437.589498,25.557258,24.075675,24.336617,32.46181,703.3175
47.627933,0.453404,1624.16268,25.827046,24.085567,23.16624,30.585307,737.9395
46.295786,0.418719,1476.252195,25.522738,23.955627,22.594657,29.890831,616.961
41.307022,0.47637,1322.623139,25.815241,24.47728,23.863853,31.131454,630.5988
40.849504,0.471657,1274.806931,25.680702,24.113221,24.00718,31.328284,600.1704
32.05,0.2235,422.985,25.64,23.77,24.375,31.895,94.85
34.175,0.265,884.745,25.585,23.625,23.675,30.475,230.895
40.89825,0.491107,1275.975883,25.571149,24.353929,24.310873,33.006319,625.8991
48.241889,0.453077,1197.319578,25.795379,24.435027,23.646895,30.500711,543.5405
